joueur,club_depart,club_arrivee,montant,date_transfert,type_transfert
Jherson Mosquera,Newell's Old Boys,Tolima,0,2026-03-19T15:39:11Z,contract
Zé Vitor,Maringá Futebol Clube,Vitoria,0,2026-03-19T15:36:30Z,on loan
Bill,Juventude,Remo,0,2026-03-19T15:34:35Z,contract
Poveda,Primavera,Remo,0,2026-03-19T15:32:48Z,on loan
José Caicedo,Pumas,Portland,2000000,2026-03-19T11:24:18Z,contract
Diego Borges,Zalaegerszeg,Sporting KC,1700000,2026-03-19T11:18:34Z,contract
Leonardo Rugel,Free agent,Asociacion Deportiva Tarma,0,2026-03-19T10:45:00Z,contract
Hugo Bolin,Malmö FF,M'gladbach,2000000,2026-03-18T19:40:33Z,contract
Kayne Rizvanovich,Minnesota,Brooklyn FC,0,2026-03-18T14:07:26Z,on loan
Kasper Berndtsson,Elfsborg,Utsiktens BK,0,2026-03-18T13:37:54Z,contract
Kacper Pasiek,Preston,Macclesfield,0,2026-03-18T13:04:38Z,on loan
Lucas Alfonso,Talleres,Zalaegerszeg,0,2026-03-18T07:03:25Z,contract
Luan Cândido,Red Bull Bragantino,Vitoria,0,2026-03-18T05:41:42Z,on loan
Lovre Kulusic,Dinamo Zagreb,Vukovar 91,0,2026-03-18T05:30:05Z,on loan
Love Björnson,Mjällby,Hässleholms IF,0,2026-03-18T05:26:46Z,contract
Lorin Jetzer,Young Boys,Kriens,0,2026-03-18T04:57:07Z,contract
Lorenzo Brun,Defensa y Justicia,Chacarita Juniors,0,2026-03-18T04:36:16Z,on loan
Lorenzo Bittarelli,Lausanne,Yverdon,0,2026-03-18T04:32:53Z,on loan
Lisandro Bajú,River Plate,Montevideo Wanderers,0,2026-03-18T03:58:30Z,on loan
Lion Beqiri,Häcken,Falkenbergs FF,0,2026-03-18T03:50:43Z,contract
Leo Pecover,Bristol City,Weston Super Mare,0,2026-03-18T01:03:58Z,on loan
Léo Jance,Fluminense,Nautico,0,2026-03-18T00:29:51Z,on loan
Leo Duru,Blackburn,Birmingham Legion FC,0,2026-03-18T00:21:15Z,on loan
Caio Roque,Portuguesa,Botafogo RJ,0,2026-03-17T12:54:17Z,on loan
Alexander Hidalgo,Asociacion Deportiva Tarma,Binacional,0,2026-03-17T10:28:21Z,on loan
Yoshan Valois,Deportivo Pasto,Lanus,0,2026-03-17T10:01:38Z,contract
Juan Obando,Atletico Nacional,Carabobo FC,0,2026-03-17T09:55:05Z,contract
Yuriel Celi,Universitario de Deportes,Sport Boys,0,2026-03-17T09:48:33Z,on loan
