player_id,team_name,player_name,nationality,position,age
823085,West Ham United,Kyle Walker-Peters,England,D,
894474,West Ham United,Max Kilman,England,D,
1150952,West Ham United,Oliver Scarles,England,D,
1652590,West Ham United,Ezra Mayers,England,D,
15479,West Ham United,Łukasz Fabiański,Poland,G,
96531,West Ham United,Alphonse Aréola,France,G,
856640,West Ham United,Mads Hermansen,Denmark,G,
190867,Ipswich Town,Chuba Akpom,England,F,
1154598,Ipswich Town,Sindre Walle Egeli,Norway,F,
1007072,Ipswich Town,Anis Mehmeti,Albania,F,
1000696,Ipswich Town,Ivan Azón,Spain,F,
839712,Ipswich Town,George Hirst,Scotland,F,
1014461,Ipswich Town,Jaden Philogene-Bidace,England,M,
1014801,Ipswich Town,Marcelino Núñez,Chile,M,
921005,Ipswich Town,Jack Clarke,England,M,
857671,Ipswich Town,Jens-Lys Cajuste,Sweden,M,
1065134,Ipswich Town,Kasey McAteer,Ireland,M,
856495,Ipswich Town,Azor Matusiwa,Netherlands,M,
964106,Ipswich Town,Dan Neil,England,M,
856669,Ipswich Town,Jack Taylor,Ireland,M,
305302,Ipswich Town,Wes Burns,Wales,M,
1066814,Ipswich Town,Elkan Baggott,Indonesia,D,
10589,Ipswich Town,Ashley Young,England,D,
963493,Ipswich Town,Leif Davis,England,D,
886802,Ipswich Town,Cédric Kipré,Côte d'Ivoire,D,
856719,Ipswich Town,Dara O'Shea,Ireland,D,
914412,Ipswich Town,Ben Johnson,England,D,
990821,Ipswich Town,Jacob Greaves,England,D,
786022,Ipswich Town,Darnell Furlong,England,D,
197982,Ipswich Town,Conor Townsend,England,D,
796143,Ipswich Town,Alex Palmer,England,G,
198038,Ipswich Town,Christian Walton,England,G,
32673,Ipswich Town,David Button,England,G,
840217,Tottenham Hotspur,Richarlison,Brazil,F,
871706,Tottenham Hotspur,Randal Kolo Muani,France,F,
361420,Tottenham Hotspur,Dominic Solanke,England,F,
1048888,Tottenham Hotspur,Mathys Tel,France,F,
1142679,Tottenham Hotspur,Wilson Odobert,France,F,
905163,Tottenham Hotspur,Mohammed Kudus,Ghana,M,
997183,Tottenham Hotspur,Xavi Simons,Netherlands,M,
1002711,Tottenham Hotspur,Pape Matar Sarr,Senegal,M,
844842,Tottenham Hotspur,Yves Bissouma,Mali,M,
364612,Tottenham Hotspur,João Palhinha,Portugal,M,
904970,Tottenham Hotspur,Conor Gallagher,England,M,
356398,Tottenham Hotspur,James Maddison,England,M,
928124,Tottenham Hotspur,Dejan Kulusevski,Sweden,M,
1391251,Tottenham Hotspur,Lucas Bergvall,Sweden,M,
791190,Tottenham Hotspur,Rodrigo Bentancur,Uruguay,M,
1142335,Tottenham Hotspur,Archie Gray,England,M,
829932,Tottenham Hotspur,Cristian Romero,Argentina,D,
997103,Tottenham Hotspur,Radu Drăguşin,Romania,D,
998247,Tottenham Hotspur,Micky van de Ven,Netherlands,D,
913654,Tottenham Hotspur,Pedro Porro,Spain,D,
983572,Tottenham Hotspur,Destiny Udogie,Italy,D,
945798,Tottenham Hotspur,Djed Spence,England,D,
794953,Tottenham Hotspur,Kevin Danso,Austria,D,
1482340,Tottenham Hotspur,Souza,Brazil,D,
94758,Tottenham Hotspur,Ben Davies,Wales,D,
1031251,Tottenham Hotspur,Antonín Kinský,Czechia,G,
553606,Tottenham Hotspur,Guglielmo Vicario,Italy,G,
859896,Tottenham Hotspur,Brandon Austin,England,G,
845286,Crystal Palace,Ismaïla Sarr,Senegal,F,
1085180,Crystal Palace,Brennan Johnson,Wales,F,
848276,Crystal Palace,Jean Philippe Mateta,France,F,
876599,Crystal Palace,Jørgen Strand Larsen,Norway,F,
984624,Crystal Palace,Yéremy Pino,Spain,F,
858194,Crystal Palace,Eddie Nketiah,England,F,
930245,Crystal Palace,Evann Guessand,Côte d'Ivoire,F,
1884145,Crystal Palace,Christantus Uche,Nigeria,F,
870360,Crystal Palace,Daniel Muñoz,Colombia,M,
794338,Crystal Palace,Daichi Kamada,Japan,M,
1109771,Crystal Palace,Adam Wharton,England,M,
355796,Crystal Palace,Jefferson Lerma,Colombia,M,
357584,Crystal Palace,Borna Sosa,Croatia,M,
906047,Crystal Palace,Cheick Doucouré,Mali,M,
988275,Crystal Palace,Tyrick Mitchell,England,M,
193554,Crystal Palace,Will Hughes,England,M,
1084311,Crystal Palace,Justin Devenny,Northern Ireland,M,
1185603,Crystal Palace,Kaden Rodney,England,M,
1064218,Crystal Palace,Chadi Riad,Morocco,D,
879674,Crystal Palace,Maxence Lacroix,France,D,
931844,Crystal Palace,Chris Richards,USA,D,
1471671,Crystal Palace,Jaydee Canvot,France,D,
43215,Crystal Palace,Nathaniel Clyne,England,D,
1465401,Crystal Palace,Caleb Kporha,England,D,
1469007,Crystal Palace,Rio Cardines,Trinidad and Tobago,D,
788134,Crystal Palace,Dean Henderson,England,G,
